Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Яблоки свежий урожай";"Фрукты";48;0.3;0.4;11.5;https://yarcheplus.ru/product/yabloki-7665
"Яблоки Голден поштучно, 0,08 - 0,3 кг";"Фрукты";46;;;11.3;https://yarcheplus.ru/product/yabloki-3162
"Яблоки Кубанские багряные поштучно, 0,1 - 0,2 кг";"Фрукты";53;2.9;2.5;3.9;https://yarcheplus.ru/product/yabloki-33875
"Черешня";"Фрукты";52;1.1;0.4;10.6;https://yarcheplus.ru/product/chereshnya-8281
"Абрикосы красные";"Фрукты";44;1;0.1;9;https://yarcheplus.ru/product/abrikosy-24006
"Абрикосы";"Фрукты";48;0.9;0.1;9;https://yarcheplus.ru/product/abrikosy-8282
"Вишня";"Фрукты";52;0.8;0.2;10.6;https://yarcheplus.ru/product/vishnya-24394
"Яблоки Голден импорт, 0,2 - 0,5 кг";"Фрукты";46;;;11.3;https://yarcheplus.ru/product/yabloki-33017
"Личи";"Фрукты";65;0.8;0.3;14.4;https://yarcheplus.ru/product/lichi-36291
"Физалис, 100 г";"Фрукты";32;1;1;5.8;https://yarcheplus.ru/product/fizalis-7726
"Лонган, 0,4 - 0,6 кг";"Фрукты";60;1.31;0.1;14.04;https://yarcheplus.ru/product/longan-17382
"Персики плоские";"Фрукты";60;1;;16;https://yarcheplus.ru/product/persiki-16408
"Манго желтое, поштучно, 0,3 - 1 кг";"Фрукты";40;0.5;0.3;14;https://yarcheplus.ru/product/mango-16800
"Салатный микс «Белая дача» Модена, 135 г";"Зелень";16;0.2;1.5;2;https://yarcheplus.ru/product/salatniy-miks-38275
"Шпинат «Белая дача», 75 г";"Зелень";23;2.9;0.3;2;https://yarcheplus.ru/product/shpinat-37324
"Салатный микс «Белая дача» Аликанте, 100 г";"Зелень";16;1.5;0.2;2;https://yarcheplus.ru/product/salatniy-miks-18196
"Салатный микс «Белая дача» Тоскана, 120 г";"Зелень";16;1.5;0.2;2;https://yarcheplus.ru/product/salatniy-miks-27318
"Салат Айсберг, поштучно, 0,3 - 1 кг";"Зелень";14;0.9;0.1;3;https://yarcheplus.ru/product/salat-8576
"Мята, 30 г";"Зелень";44;3.3;0.7;8.4;https://yarcheplus.ru/product/myata-8535
"Салатный микс Руккола, Радиччио, 75 г";"Зелень";23;2.1;0.4;2.7;https://yarcheplus.ru/product/salatniy-miks-23380
"Салат Руккола, 75 г";"Зелень";25;2.6;0.7;2.1;https://yarcheplus.ru/product/salat-16364
"Микрозелень гороха, 70 г";"Зелень";34;3.4;0.8;1.4;https://yarcheplus.ru/product/mikrozelen-22501
"Петрушка свежая, 50 г";"Зелень";49;3.7;0.4;7.6;https://yarcheplus.ru/product/petrushka-5884
"Салат в горшочке";"Зелень";14;1.5;0.2;2.2;https://yarcheplus.ru/product/salat-5891
"Стебель сельдерея поштучно, 0,5 - 1,2 кг";"Зелень";13;0.9;0.1;2.1;https://yarcheplus.ru/product/stebel-seldereya-7295
"Кинза, 30 г";"Зелень";20;1.3;0.1;3.2;https://yarcheplus.ru/product/kinza-16330
"Лук зелёный, 100 г";"Зелень";20;1.3;0.1;3.2;https://yarcheplus.ru/product/luk-6772
"Набор зелени укроп, петрушка, лук, 80 г";"Зелень";36;2.6;0.4;5.2;https://yarcheplus.ru/product/nabor-zeleni-5888
"Шпинат, 75 г";"Зелень";22;2.9;0.3;2;https://yarcheplus.ru/product/shpinat-34348
"Укроп свежий, 50 г";"Зелень";40;2.5;0.5;6.3;https://yarcheplus.ru/product/ukrop-6304
"Арбуз импорт, 3 - 7 кг";"Грибы и ягоды";27;0.7;0.1;5.8;https://yarcheplus.ru/product/arbuz-11837
"Шампиньоны свежие, 300 г";"Грибы и ягоды";27;4.3;1;0.1;https://yarcheplus.ru/product/shampinyony-3142
"Грибы Вешенка, 300 г";"Грибы и ягоды";38;;;;https://yarcheplus.ru/product/griby-17650
"Вишня";"Грибы и ягоды";52;0.8;0.2;10.6;https://yarcheplus.ru/product/vishnya-24394
"Голубика, 125 г";"Грибы и ягоды";39;1;0.5;6.6;https://yarcheplus.ru/product/golubika-7724
"Молоко 3.2% «Лебедевская агрофирма», 850 г";"Молоко, сливки";55;3;3.2;4;https://yarcheplus.ru/product/moloko-40295
"Молоко ультрапастеризрованное 3.2% «Золотые луга», 950 мл";"Молоко, сливки";59.6;3;3.2;4.7;https://yarcheplus.ru/product/moloko-ultrapasterizrovannoe-39718
"Молоко ультрапастеризованное 2.5% «Золотые луга», 950 мл";"Молоко, сливки";53.3;3;2.5;4.7;https://yarcheplus.ru/product/moloko-ultrapasterizovannoe-39717
"Сливки 33% «Белый город» для взбивания, 500 г";"Молоко, сливки";319;2.2;33;3.2;https://yarcheplus.ru/product/slivki-39708
"Молоко, 3.2%, 900 г";"Молоко, сливки";60;3;3.2;4.7;https://yarcheplus.ru/product/moloko-3662
"Молоко 2.5%, 900 г";"Молоко, сливки";53;3;2.5;4.7;https://yarcheplus.ru/product/moloko-4318
"Молоко цельное/отборное 3,4%-6%, 850 г";"Молоко, сливки";62;3;3.5;4.7;https://yarcheplus.ru/product/moloko-7229
"Молоко 2.5%, 850 г";"Молоко, сливки";53;3;2.5;4.7;https://yarcheplus.ru/product/moloko-7228
"Молоко 2.5% топленое, 850 г";"Молоко, сливки";50;3;2.5;4.7;https://yarcheplus.ru/product/moloko-38652
"Молоко 2.5% питьевое, пастеризованное, 450 г";"Молоко, сливки";53;3;2.5;4.7;https://yarcheplus.ru/product/moloko-16896
"Молоко 3.2% «Наша Маша» обогащенное, для детей, 200 мл";"Молоко, сливки";59;2.8;3.2;4.7;https://yarcheplus.ru/product/moloko-37665
"Молоко 2.5% «Ирмень», 950 г";"Молоко, сливки";53;2.8;2.5;4.7;https://yarcheplus.ru/product/moloko-24127
"Молоко 3.2% «Томское молоко», 1,4 кг";"Молоко, сливки";60;3;3.2;4.7;https://yarcheplus.ru/product/moloko-29765
"Молоко 2.5% «Томское молоко», 1,4 кг";"Молоко, сливки";54;3;2.5;4.8;https://yarcheplus.ru/product/moloko-29764
"Молоко 0.05% «Parmalat» безлактозное, 1 л";"Молоко, сливки";32;3.2;0.05;4.7;https://yarcheplus.ru/product/moloko-26004
"Молоко 3.2% «Ирмень», 950 г";"Молоко, сливки";58;2.6;3.2;4.7;https://yarcheplus.ru/product/moloko-24126
"Сливки питьевые 11% «Parmalat Comfort» безлактозные, 500 г";"Молоко, сливки";127;2.8;11;4.2;https://yarcheplus.ru/product/slivki-pityevye-39328
"Сливки питьевые 11% «Parmalat Comfort» безлактозные, 200 г";"Молоко, сливки";127;2.8;11;4.2;https://yarcheplus.ru/product/slivki-pityevye-39329
"Сливки 20% «Томское молоко», 250 г";"Молоко, сливки";206;2.5;20;4;https://yarcheplus.ru/product/slivki-38677
"Сливки 10% «Ehrmann» порционные, 10 шт, 10 мл";"Молоко, сливки";120;2.8;10;4.4;https://yarcheplus.ru/product/slivki-36753
"Сливки 10% «Три коровы Два кота» питьевые, 200 г";"Молоко, сливки";118;2.6;10;4.5;https://yarcheplus.ru/product/slivki-38193
"Сливки 10% «Три коровы Два кота» питьевые, 500 г";"Молоко, сливки";118;2.6;10;4.5;https://yarcheplus.ru/product/slivki-38192
"Сливки 20% «Три коровы Два кота», 200 мл";"Молоко, сливки";206;2.5;20;4;https://yarcheplus.ru/product/slivki-36149
"Сливки 10% «Модест» стерилизованные, 200 мл";"Молоко, сливки";115;2.6;10;3.7;https://yarcheplus.ru/product/slivki-32292
"Молоко 4% топленое, 450 г";"Молоко, сливки";67;3;4;4.7;https://yarcheplus.ru/product/moloko-16897
"Молоко козье «Село Зеленое» отборное Slim Leaf, 2,8-5,6%, 200 г";"Молоко, сливки";80;2.8;2.8;4.7;https://yarcheplus.ru/product/moloko-kozye-39132
"Молоко 2.5% «Томское молоко», 500 г";"Молоко, сливки";206;3;2.5;4.7;https://yarcheplus.ru/product/moloko-38676
"Сливки 20% «Три коровы, два кота», 500 г";"Молоко, сливки";206;2.5;20;4;https://yarcheplus.ru/product/slivki-38818
"Кефир 1%, 400 г";"Кефир, ряженка, снежок";40;3;1;3;https://yarcheplus.ru/product/kefir-40192
"Кефир 1%, 850 г";"Кефир, ряженка, снежок";40;3;1;3;https://yarcheplus.ru/product/kefir-40191
"Кефир 2.5%, 900 г";"Кефир, ряженка, снежок";51;3;2.5;4;https://yarcheplus.ru/product/kefir-2785
"Кефир 2.5%, 850 г";"Кефир, ряженка, снежок";50.5;3;2.5;4;https://yarcheplus.ru/product/kefir-2765
"Кефир 2.5%, 450 г";"Кефир, ряженка, снежок";51;3;2.5;4;https://yarcheplus.ru/product/kefir-16895
"Кефир 1%, 900 г";"Кефир, ряженка, снежок";37;3;1;4;https://yarcheplus.ru/product/kefir-6777
"Кефир 2.5% «Ирмень», 950 г";"Кефир, ряженка, снежок";50;2.8;2.5;4;https://yarcheplus.ru/product/kefir-24128
"Кефир 2.5% «Томское молоко», 500 г";"Кефир, ряженка, снежок";50;3;2.5;4;https://yarcheplus.ru/product/kefir-23358
"Кефир 1% «Ирмень», 950 г";"Кефир, ряженка, снежок";36;3.4;1;4;https://yarcheplus.ru/product/kefir-24130
"Ряженка 2.5%, 400 г";"Кефир, ряженка, снежок";60;3;2.5;4;https://yarcheplus.ru/product/ryazhenka-38646
"Ряженка 4% «Томское молоко», 500 г";"Кефир, ряженка, снежок";77;3;4.15;4.2;https://yarcheplus.ru/product/ryazhenka-23360
"Ряженка 2.5% «Зеленый луг», 750 г";"Кефир, ряженка, снежок";51;3;2.5;4.2;https://yarcheplus.ru/product/ryazhenka-33434
"Снежок 2.5%, 450 г";"Кефир, ряженка, снежок";77;2.6;2.5;11;https://yarcheplus.ru/product/snezhok-2757
"Айран 1.8% «Сегодня и всегда» с вялеными томатами, 200 г";"Кефир, ряженка, снежок";47.4;2.9;1.8;4.9;https://yarcheplus.ru/product/ayran-37670
"Айран 1.8% «Сегодня и всегда» с пряными травами, 200 г";"Кефир, ряженка, снежок";47;2.8;1.8;4.8;https://yarcheplus.ru/product/ayran-37671
"Айран «Сегодня и всегда» традиционный, 200 г";"Кефир, ряженка, снежок";48;3;2;4.5;https://yarcheplus.ru/product/ayran-37590
"Биолакт 2.8% «Наша Маша» яблоко-груша, 200 г";"Кефир, ряженка, снежок";76.4;2.6;2.8;10.2;https://yarcheplus.ru/product/biolakt-37668
"Биолакт 2.8% «Наша Маша» детский, яблоко, 200 г";"Кефир, ряженка, снежок";76.4;2.6;2.8;10.2;https://yarcheplus.ru/product/biolakt-37667
"Биолакт 3% «Наша Маша» детский, с сахаром, 200 г";"Кефир, ряженка, снежок";72.5;2.6;3;8.8;https://yarcheplus.ru/product/biolakt-37666
"Кисломолочный напиток 1.2% «Имунеле» земляника, 100 г";"Кефир, ряженка, снежок";68;2.7;1.2;11.6;https://yarcheplus.ru/product/kislomolochniy-napitok-2673
"Айран 1% «G-balance» домашний, 230 г";"Кефир, ряженка, снежок";18.6;1;1;1.14;https://yarcheplus.ru/product/ayran-40805
"Тан 1% «G-balance» домашний, 230 г";"Кефир, ряженка, снежок";18.6;1;1;1.14;https://yarcheplus.ru/product/tan-40804
"Ряженка 4%, 450 г";"Кефир, ряженка, снежок";65;3;4;4.2;https://yarcheplus.ru/product/ryazhenka-3220
"Кисломолочный напиток «Рудненский» Айран газированный, 1 кг";"Кефир, ряженка, снежок";24;1.2;2;1.4;https://yarcheplus.ru/product/kislomolochniy-napitok-24424
"Кисломолочный напиток «Рудненский» Тан газированный, 1 кг";"Кефир, ряженка, снежок";17;1.2;1.8;1.4;https://yarcheplus.ru/product/kislomolochniy-napitok-24423
"Сметана 15% «Лебедевская агрофирма», 320 г";"Сметана и творог";160;2.6;15;3.5;https://yarcheplus.ru/product/smetana-40296
"Творог «Лебедевская агрофирма», 190 г";"Сметана и творог";90;16;1.8;3.3;https://yarcheplus.ru/product/tvorog-40294
"Творожок «Ирменский» с кусочками клубники, 150 г";"Сметана и творог";109;16;0.5;10;https://yarcheplus.ru/product/tvorozhok-40099
"Сметана 20%, 350 г";"Сметана и творог";204;2.5;20;3.4;https://yarcheplus.ru/product/smetana-16654
"Сметана 15%, 350 г";"Сметана и творог";160;2.6;15;3.6;https://yarcheplus.ru/product/smetana-6530
"Сметана, 10%, 350 г";"Сметана и творог";116;2.6;10;2.6;https://yarcheplus.ru/product/smetana-6779
"Сметана 10% «Домик в деревне», 300 г";"Сметана и творог";117;2.8;10;3.9;https://yarcheplus.ru/product/smetana-37682
"Сметана 15% «Ирмень», 250 г";"Сметана и творог";160;2.6;15;3.6;https://yarcheplus.ru/product/smetana-24136
"Сметана 15% «Ирмень», 400 г";"Сметана и творог";160;2.6;15;3.6;https://yarcheplus.ru/product/smetana-24137
